Country Name,Country Code,2016,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Greece,GRC,10770521,4354,1604,-,16,554,320,1035,181,644,40.42515678,3.638888425,3.205204364,-,1.204119983,2.743509765,2.505149978,3.01494035,2.257678575,2.808885867,1.606651713
Ghana,GHA,28206728,946,433,-,-,27,104,116,-,266,3.353809772,2.975891136,2.636487896,-,-,1.431363764,2.017033339,2.064457989,-,2.424881637,0.525538426
Germany,DEU,82487842,91510,6616,1,1,5061,1535,23535,42083,12675,110.937561,4.961468555,3.820595497,0,0,3.704236337,3.18610838,4.371714203,4.624106692,4.102947968,2.045078613
Georgia,GEO,3719300,394,140,-,-,27,83,56,12,76,10.59339123,2.595496222,2.146128036,-,-,1.431363764,1.919078092,1.748188027,1.079181246,1.880813592,1.025035012
"Gambia, The",GMB,2038501,26,10,-,-,-,1,10,1,-,1.275447007,1.414973348,1,-,-,-,0,1,0,-,0.105662419
Gabon,GAB,1979786,21,6,-,-,-,-,5,-,10,1.060720704,1.322219295,0.77815125,-,-,-,-,0.698970004,-,1,0.025601046
France,FRA,66892205,99201,10023,1,1,6500,1892,30247,28025,22504,148.2997907,4.99651605,4.00099773,0,0,3.812913357,3.276921132,4.480682306,4.447545621,4.352259719,2.171140538
Finland,FIN,5495303,7421,482,-,1,1,667,2912,512,2376,135.0425991,3.870462432,2.683047038,-,0,0,2.824125834,3.464191371,2.709269961,3.375846436,2.130470788
Fiji,FJI,898760,73,12,-,-,-,18,6,-,37,8.122301838,1.86332286,1.079181246,-,-,-,1.255272505,0.77815125,-,1.568201724,0.909679125
Ethiopia,ETH,102403196,570,130,-,-,23,261,51,4,101,0.556623252,2.755874856,2.113943352,-,-,1.361727836,2.416640507,1.707570176,0.602059991,2.004321374,-0.254438655
Estonia,EST,1315790,666,77,-,1,140,69,168,1,153,50.61597975,2.823474229,1.886490725,-,0,2.146128036,1.838849091,2.225309282,0,2.184691431,1.704287648
Eritrea,ERI,-,11,1,-,-,-,-,-,1,6,#VALUE!,1.041392685,0,-,-,-,-,-,0,0.77815125,#VALUE!
Equatorial Guinea,GNQ,1221490,11,1,-,-,-,-,1,-,6,0.900539505,1.041392685,0,-,-,-,-,0,-,0.77815125,-0.045497231
El Salvador,SLV,6344722,2422,534,66,585,23,292,411,14,497,38.17346134,3.384174139,2.727541257,1.819543936,2.767155866,1.361727836,2.465382851,2.613841822,1.146128036,2.696356389,1.581761541
"Egypt, Arab Rep.",EGY,95688681,4053,1061,26,-,247,29,1136,110,1444,4.235610688,3.607776604,3.025715384,1.414973348,-,2.392696953,1.462397998,3.055378331,2.041392685,3.159567193,0.626916036
Ecuador,ECU,16385068,2971,826,9,13,162,93,895,90,883,18.13236295,3.472902652,2.916980047,0.954242509,1.113943352,2.209515015,1.968482949,2.951823035,1.954242509,2.945960704,1.258454404
Dominican Republic,DOM,10648791,7626,801,55,178,362,3921,807,41,1461,71.61376348,3.882296801,2.903632516,1.740362689,2.250420002,2.558708571,3.593396842,2.906873535,1.612783857,3.164650216,1.854996498
Dominica,DMA,73543,61,17,-,-,3,29,9,1,1,82.94467182,1.785329835,1.230448921,-,-,0.477121255,1.462397998,0.954242509,0,0,1.918788493
Djibouti,DJI,942333,3,-,-,-,-,1,-,1,-,0.318358797,0.477121255,-,-,-,-,0,-,0,-,-0.497083145
Denmark,DNK,5728010,11563,667,1,1,1718,379,4055,1575,3147,201.8676643,4.063070526,2.824125834,0,0,3.235023159,2.57863921,3.607990859,3.197280558,3.497896743,2.305066758
Czech Republic,CZE,10566332,4346,340,-,170,320,556,1548,514,898,41.13064023,3.638089722,2.531478917,-,2.230448921,2.505149978,2.745074792,3.189770956,2.710963119,2.953276337,1.61416547
Cyprus,CYP,1170125,458,171,-,-,83,1,152,1,47,39.1411174,2.660865478,2.23299611,-,-,1.919078092,0,2.181843588,0,1.672097858,1.59263322
Cuba,CUB,11475982,873,7,-,-,48,762,5,10,41,7.607192134,2.941014244,0.84509804,-,-,1.681241237,2.881954971,0.698970004,1,1.612783857,0.881224385
Croatia,HRV,4174349,1558,357,-,13,166,151,447,115,309,37.323185,3.192567453,2.552668216,-,1.113943352,2.220108088,2.178976947,2.650307523,2.06069784,2.489958479,1.571978698
Cote d'Ivoire,CIV,23695919,192,76,-,-,12,12,46,-,46,0.810266105,2.283301229,1.880813592,-,-,1.079181246,1.079181246,1.662757832,-,1.662757832,-0.091372328
Costa Rica,CRI,4857274,4194,698,119,308,142,47,1692,174,1014,86.34472752,3.622628426,2.843855423,2.075546961,2.488550717,2.152288344,1.672097858,3.228400359,2.240549248,3.006037955,1.936235823
"Congo, Rep.",COG,5125821,26,1,-,1,-,1,9,-,13,0.507235816,1.414973348,0,-,0,-,0,0.954242509,-,1.113943352,-0.294790088
"Congo, Dem. Rep.",COD,78736153,99,12,-,-,1,40,11,1,24,0.125736395,1.995635195,1.079181246,-,-,0,1.602059991,1.041392685,0,1.380211242,-0.900538997
