Country Name,Country Code,2015,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Barbados,BRB,284217,491,145,-,3,85,108,90,-,60,172.7553243,2.691081492,2.161368002,-,0.477121255,1.929418926,2.033423755,1.954242509,-,1.77815125,2.237431441
Belarus,BLR,9489616,1265,256,-,-,91,126,325,10,457,13.33036026,3.102090526,2.408239965,-,-,1.959041392,2.100370545,2.511883361,1,2.6599162,1.124841887
Belgium,BEL,11274196,11975,1054,-,-,1391,-,4297,2351,2660,106.2159998,4.078275522,3.022840611,-,-,3.14332713,-,3.633165354,3.371252629,3.424881637,2.026189941
Belize,BLZ,359288,345,70,20,184,4,-,24,-,43,96.02324598,2.537819095,1.84509804,1.301029996,2.264817823,0.602059991,-,1.380211242,-,1.633468456,1.982376383
Benin,BEN,10575952,58,28,-,-,9,-,5,-,16,0.548413987,1.763427994,1.447158031,-,-,0.954242509,-,0.698970004,-,1.204119983,-0.260891477
Bermuda,BMU,65250,,,,,,,,,,0,-,-,-,-,-,-,-,-,-,-
Bhutan,BTN,787386,18,11,-,-,-,-,-,-,4,2.286045218,1.255272505,1.041392685,-,-,-,-,-,-,0.602059991,0.359084816
Bolivia,BOL,10724705,1234,490,-,-,27,96,272,39,310,11.50614399,3.09131516,2.69019608,-,-,1.431363764,1.982271233,2.434568904,1.591064607,2.491361694,1.060929805
Bosnia and Herzegovina,BIH,3535961,240,60,-,-,10,57,32,14,67,6.787405178,2.380211242,1.77815125,-,-,1,1.755874856,1.505149978,1.146128036,1.826074803,0.831703775
Botswana,BWA,2209197,58,16,-,-,-,-,10,-,26,2.62538832,1.763427994,1.204119983,-,-,-,-,1,-,1.414973348,0.419193549
Brazil,BRA,205962108,44013,6659,14,64,1948,1656,18309,570,14793,21.36946472,4.643580972,3.823409015,1.146128036,1.806179974,3.289588953,3.219060332,4.262664625,2.755874856,4.170056257,1.329793644
Brunei Darussalam,BRN,417542,22,-,-,-,-,-,9,-,9,5.26893103,1.342422681,-,-,-,-,-,0.954242509,-,0.954242509,0.721722514
Bulgaria,BGR,7177991,2516,1085,3,215,184,105,329,278,317,35.05159034,3.400710637,3.035429738,0.477121255,2.33243846,2.264817823,2.021189299,2.517195898,2.444044796,2.501059262,1.544707727
Burkina Faso,BFA,18110624,95,58,-,-,-,7,7,-,20,0.524553986,1.977723605,1.763427994,-,-,-,0.84509804,0.84509804,-,1.301029996,-0.280209809
Burundi,BDI,10199270,38,16,-,-,6,-,5,-,5,0.372575684,1.579783597,1.204119983,-,-,0.77815125,-,0.698970004,-,0.698970004,-0.428785492
Cambodia,KHM,15517635,77,13,-,-,-,38,-,-,21,0.496209635,1.886490725,1.113943352,-,-,-,1.579783597,-,-,1.322219295,-0.304334807
Cameroon,CMR,22834522,568,338,-,-,5,39,55,10,121,2.487461748,2.754348336,2.5289167,-,-,0.698970004,1.591064607,1.740362689,1,2.08278537,0.395756411
Canada,CAN,35832513,1122523,63626,3758,4701,20026,35704,189844,64099,740765,3132.694042,6.050195248,4.803634621,3.574956776,3.672190251,4.301594212,4.552716874,5.278396876,4.806851254,5.869680454,3.495917981
Central African Republic,CAF,4546100,4,-,-,-,-,-,-,-,-,0.087987506,0.602059991,-,-,-,-,-,-,-,-,-1.055578993
Chad,TCD,14009413,3,-,-,-,-,-,-,-,-,0.021414173,0.477121255,-,-,-,-,-,-,-,-,-1.669298684
Chile,CHL,17762681,8635,2739,15,33,402,197,1785,849,2615,48.61315699,3.936262342,3.437592032,1.176091259,1.51851394,2.604226053,2.294466226,3.25163822,2.92890769,3.417471693,1.686753826
China,CHN,1371220000,76173,36714,4,3,1151,2244,17054,401,18602,5.555126092,4.88180106,4.564831704,0.602059991,0.477121255,3.061075324,3.351022853,4.231826259,2.603144373,4.26955964,0.744693921
Colombia,COL,48228697,19385,4596,-,-,1603,-,4364,3393,4365,40.19391194,4.287465805,3.66238002,-,-,3.204933522,-,3.639884742,3.53058386,3.639984248,1.604160277
Comoros,COM,777424,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
"Congo, Dem. Rep.",COD,76196619,32,-,-,-,-,-,-,-,16,0.041996614,1.505149978,-,-,-,-,-,-,-,1.204119983,-1.376785723
"Congo, Rep.",COG,4995648,88,20,-,-,22,8,9,-,29,1.761533239,1.944482672,1.301029996,-,-,1.342422681,0.903089987,0.954242509,-,1.462397998,0.245890842
Costa Rica,CRI,4807852,3750,791,99,191,123,27,1382,183,954,77.99740924,3.574031268,2.898176483,1.995635195,2.281033367,2.089905111,1.431363764,3.140508043,2.26245109,2.979548375,1.892080177
Cote d'Ivoire,CIV,23108472,150,58,-,-,-,-,46,-,40,0.649112585,2.176091259,1.763427994,-,-,-,-,1.662757832,-,1.602059991,-0.187679971
Croatia,HRV,4203604,1493,349,-,26,184,123,422,82,307,35.51714196,3.174059808,2.542825427,-,1.414973348,2.264817823,2.089905111,2.625312451,1.913813852,2.487138375,1.550438011
Cuba,CUB,11461432,492,4,-,-,30,372,4,-,79,4.292657322,2.691965103,0.602059991,-,-,1.477121255,2.57054294,0.602059991,-,1.897627091,0.632726221
Cyprus,CYP,1160985,378,167,-,-,60,8,107,-,36,32.55856019,2.5774918,2.222716471,-,-,1.77815125,0.903089987,2.029383778,-,1.556302501,1.512665191
Czech Republic,CZE,10546059,3661,406,-,27,302,531,1231,402,762,34.71438952,3.563599729,2.608526034,-,1.431363764,2.480006943,2.725094521,3.090258053,2.604226053,2.881954971,1.540509532
Denmark,DNK,5683483,11018,909,-,-,1596,450,3932,1104,3016,193.8599975,4.042102768,2.958563883,-,-,3.203032887,2.653212514,3.594613509,3.042969073,3.479431337,2.287488203
Djibouti,DJI,927414,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
Dominica,DMA,73162,77,28,-,-,-,30,12,-,-,105.2458927,1.886490725,1.447158031,-,-,-,1.477121255,1.079181246,-,-,2.022205156
Dominican Republic,DOM,10528394,7602,876,89,155,303,3974,755,38,1412,72.20474462,3.880927865,2.942504106,1.949390007,2.190331698,2.481442629,3.599227863,2.877946952,1.579783597,3.149834697,1.858565736
Ecuador,ECU,16144368,2945,1014,5,6,150,106,759,71,834,18.24165554,3.469085299,3.006037955,0.698970004,0.77815125,2.176091259,2.025305865,2.880241776,1.851258349,2.921166051,1.261064251
"Egypt, Arab Rep.",EGY,93778172,4054,999,14,-,143,11,1233,102,1552,4.322967609,3.607883744,2.999565488,1.146128036,-,2.155336037,1.041392685,3.090963077,2.008600172,3.190891717,0.635781981
El Salvador,SLV,6312478,2345,540,68,596,32,223,374,19,493,37.14864432,3.370142847,2.73239376,1.832508913,2.77524626,1.505149978,2.348304863,2.572871602,1.278753601,2.692846919,1.56994297
Equatorial Guinea,GNQ,1175389,27,-,-,-,-,3,11,-,13,2.29711185,1.431363764,-,-,-,-,0.477121255,1.041392685,-,1.113943352,0.361182142
Eritrea,ERI,0,6,-,-,-,-,-,-,-,-,#DIV/0!,0.77815125,-,-,-,-,-,-,-,-,#DIV/0!
Estonia,EST,1315407,736,79,-,-,171,108,151,-,169,55.9522642,2.866877814,1.897627091,-,-,2.23299611,2.033423755,2.178976947,-,2.227886705,1.747817666
Ethiopia,ETH,99873033,607,146,-,-,10,294,53,17,87,0.607771669,2.783188691,2.164352856,-,-,1,2.46834733,1.72427587,1.230448921,1.939519253,-0.216259548
Fiji,FJI,892149,70,17,-,-,-,7,-,-,41,7.846222996,1.84509804,1.230448921,-,-,-,0.84509804,-,-,1.612783857,0.894660647
Finland,FIN,5479531,6538,516,-,5,478,656,2424,396,2063,119.3167809,3.815444916,2.712649702,-,0.698970004,2.679427897,2.816903839,3.384532615,2.597695186,3.314499228,2.076701528
France,FRA,66624068,92198,11056,3,16,5898,1519,26933,25207,21566,138.3854255,4.9647215,4.04359803,0.477121255,1.204119983,3.770704768,3.181557774,4.430284731,4.401521161,4.333769601,2.141090353
Gabon,GAB,1930175,33,-,-,-,-,-,10,-,16,1.709689536,1.51851394,-,-,-,-,-,1,-,1.204119983,0.232917254
"Gambia, The",GMB,1977590,30,13,-,-,-,-,3,-,11,1.516997962,1.477121255,1.113943352,-,-,-,-,0.477121255,-,1.041392685,0.180984997
Georgia,GEO,3717100,357,125,-,-,40,50,46,20,76,9.604261387,2.552668216,2.096910013,-,-,1.602059991,1.698970004,1.662757832,1.301029996,1.880813592,0.982463971
Germany,DEU,81686611,88717,7594,-,3,4403,1417,22125,40170,13005,108.6065377,4.948006848,3.880470593,-,0.477121255,3.643748685,3.15136985,4.344883279,4.603901832,4.114110357,2.035855969
Ghana,GHA,27582821,879,392,-,-,25,61,104,-,297,3.18676614,2.943988875,2.593286067,-,-,1.397940009,1.785329835,2.017033339,-,2.472756449,0.503350194
Greece,GRC,10820883,4381,1686,-,-,519,481,874,163,652,40.48652961,3.641573253,3.22685757,-,-,2.715167358,2.682145076,2.941511433,2.212187604,2.814247596,1.607310552
Grenada,GRD,106823,173,72,-,-,-,20,44,21,-,161.9501418,2.238046103,1.857332496,-,-,-,1.301029996,1.643452676,1.322219295,-,2.209381333
Guatemala,GTM,16252429,6968,661,1450,3141,98,355,573,28,662,42.87359139,3.843108142,2.820201459,3.161368002,3.497067936,1.991226076,2.550228353,2.758154622,1.447158031,2.820857989,1.632189865
Guinea,GIN,12091533,87,14,-,-,-,43,-,-,15,0.719511744,1.939519253,1.146128036,-,-,-,1.633468456,-,-,1.176091259,-0.142962113
Guinea-Bissau,GNB,1770526,6,-,-,-,-,-,-,-,-,0.338882343,0.77815125,-,-,-,-,-,-,-,-,-0.469951058
Guyana,GUY,768514,103,51,-,-,-,-,-,-,44,13.40248844,2.012837225,1.707570176,-,-,-,-,-,-,1.643452676,1.127185441
Haiti,HTI,10711061,655,64,50,-,25,326,-,-,171,6.115173838,2.8162413,1.806179974,1.698970004,-,1.397940009,2.5132176,-,-,2.23299611,0.786408807
Honduras,HND,8960829,3059,591,189,642,6,319,392,434,486,34.13746652,3.485579477,2.771587481,2.276461804,2.807535028,0.77815125,2.503790683,2.593286067,2.63748973,2.686636269,1.533231287
Hungary,HUN,9843028,4058,646,4,68,305,423,1406,33,1173,41.22715083,3.608312043,2.810232518,0.602059991,1.832508913,2.484299839,2.626340367,3.147985321,1.51851394,3.069298012,1.615183322
Iceland,ISL,330815,1275,289,-,-,257,-,249,-,325,385.411786,3.105510185,2.460897843,-,-,2.409933123,-,2.396199347,-,2.511883361,2.585924991
India,IND,1309053980,493426,253377,3,6,1137,2586,57319,233,178765,37.69332721,5.69322203,5.40376719,0.477121255,0.77815125,3.055760465,3.412628521,4.758298605,2.367355921,5.252282493,1.576264475
Indonesia,IDN,258162113,2417,841,-,-,63,40,564,-,883,0.936233428,3.38327665,2.924795996,-,-,1.799340549,1.602059991,2.751279104,-,2.945960704,-0.028615857
"Iran, Islamic Rep.",IRN,79360487,499,180,-,-,35,-,28,34,197,0.628776383,2.698100546,2.255272505,-,-,1.544068044,-,1.447158031,1.531478917,2.294466226,-0.201503779
Iraq,IRQ,36115649,122,40,-,-,-,-,-,-,48,0.337803704,2.086359831,1.602059991,-,-,-,-,-,-,1.681241237,-0.471335593
Ireland,IRL,4646554,22157,3666,91,265,2159,1556,7867,2577,3976,476.8480039,4.345510958,3.564192461,1.959041392,2.423245874,3.334252642,3.192009593,3.89580915,3.411114419,3.599446376,2.678379969
Israel,ISR,8380100,20487,2993,-,10,1581,455,5852,2195,7401,244.472023,4.311478367,3.476106717,-,1,3.19893187,2.658011397,3.767304317,3.341434525,3.869290404,2.388229166
Italy,ITA,60730582,47221,6531,-,44,4024,1121,12287,15567,7647,77.75489456,4.67413518,3.814979684,-,1.643452676,3.604657972,3.049605613,4.089445858,4.192204925,3.88349109,1.890727737
Jamaica,JAM,2871934,16387,705,4647,7651,1920,832,155,49,428,570.5911069,4.214499454,2.848189117,3.667172672,3.883718202,3.283301229,2.920123326,2.190331698,1.69019608,2.631443769,2.756324999
Japan,JPN,127141000,184581,5713,3,265,2311,1411,42082,103579,29217,145.178188,5.266186995,3.756864224,0.477121255,2.423245874,3.363799945,3.149527014,4.624096372,5.015271714,4.465635621,2.161901372
Jordan,JOR,9159302,1084,512,-,-,29,-,159,40,344,11.83496297,3.035029282,2.709269961,-,-,1.462397998,-,2.201397124,1.602059991,2.536558443,1.073166903
Kazakhstan,KAZ,17544126,1087,166,-,-,48,247,220,37,369,6.195805935,3.036229544,2.220108088,-,-,1.681241237,2.392696953,2.342422681,1.568201724,2.567026366,0.792097806
Kenya,KEN,47236259,1265,511,-,-,13,284,156,8,293,2.678027487,3.102090526,2.7084209,-,-,1.113943352,2.45331834,2.193124598,0.903089987,2.46686762,0.42781503
Kiribati,KIR,112407,15,3,-,-,-,5,-,-,7,13.34436467,1.176091259,0.477121255,-,-,-,0.698970004,-,-,0.84509804,1.125297902
"Korea, Dem. People’s Rep.",PRK,25243917,7,-,-,-,-,-,-,-,-,0.027729453,0.84509804,-,-,-,-,-,-,-,-,-1.557058704
"Korea, Rep.",KOR,51014947,51021,9268,-,17,1265,978,12047,13120,14326,100.0118652,4.707748966,3.966986025,-,1.230448921,3.102090526,2.990338855,4.08087891,4.117933835,4.156124947,2.000051527
Kosovo,XKX,1801800,87,24,-,-,7,24,11,-,21,4.828504829,1.939519253,1.380211242,-,-,0.84509804,1.380211242,1.041392685,-,1.322219295,0.68381267
Kuwait,KWT,3935794,129,46,-,-,14,-,28,-,41,3.277610566,2.11058971,1.662757832,-,-,1.146128036,-,1.447158031,-,1.612783857,0.515557351
Kyrgyz Republic,KGZ,5956900,125,40,-,-,8,25,4,3,45,2.098406889,2.096910013,1.602059991,-,-,0.903089987,1.397940009,0.602059991,0.477121255,1.653212514,0.321889703
Lao PDR,LAO,6663967,37,-,-,-,-,-,6,-,27,0.555224838,1.568201724,-,-,-,-,-,0.77815125,-,1.431363764,-0.255531114
Latvia,LVA,1977527,811,129,-,-,194,167,128,-,141,41.01081806,2.909020854,2.11058971,-,-,2.28780173,2.222716471,2.10720997,-,2.149219113,1.612898432
Lebanon,LBN,5851479,1933,854,-,-,108,103,439,15,414,33.03438327,3.286231854,2.931457871,-,-,2.033423755,2.012837225,2.64246452,1.176091259,2.617000341,1.518966203
Lesotho,LSO,2174645,16,11,-,-,-,-,-,-,-,0.735752272,1.204119983,1.041392685,-,-,-,-,-,-,-,-0.133268388
Liberia,LBR,4499621,24,-,-,-,14,-,-,-,-,0.533378256,1.380211242,-,-,-,1.146128036,-,-,-,-,-0.272964693
Libya,LBY,6234955,85,22,-,-,-,-,14,-,49,1.363281692,1.929418926,1.342422681,-,-,-,-,1.146128036,-,1.69019608,0.134585602
Liechtenstein,LIE,37403,42,11,-,-,7,-,19,-,-,112.290458,1.62324929,1.041392685,-,-,0.84509804,-,1.278753601,-,-,2.050342853
Lithuania,LTU,2904910,902,144,-,83,235,39,146,67,188,31.05087593,2.955206538,2.158362492,-,1.919078092,2.371067862,1.591064607,2.164352856,1.826074803,2.274157849,1.492073856
Luxembourg,LUX,569604,295,56,-,-,45,3,124,18,49,51.79036664,2.469822016,1.748188027,-,-,1.653212514,0.477121255,2.093421685,1.255272505,1.69019608,1.714248986
"Macedonia, FYR",MKD,2079308,307,124,-,11,26,29,53,-,55,14.76452743,2.487138375,2.093421685,-,1.041392685,1.414973348,1.462397998,1.72427587,-,1.740362689,1.169219551
Madagascar,MDG,24234088,30,16,-,-,-,-,-,3,7,0.123792569,1.477121255,1.204119983,-,-,-,-,-,0.477121255,0.84509804,-0.907305426
Malawi,MWI,17573607,93,17,-,-,-,-,49,-,19,0.529202684,1.968482949,1.230448921,-,-,-,-,1.69019608,-,1.278753601,-0.276377961
Malaysia,MYS,30723155,5407,1463,-,-,128,39,2322,32,1423,17.599104,3.73295637,3.165244326,-,-,2.10720997,1.591064607,3.365862215,1.505149978,3.1532049,1.245490558
Maldives,MDV,418403,12,8,-,-,-,-,-,-,-,2.868048269,1.079181246,0.903089987,-,-,-,-,-,-,-,0.457586456
Mali,MLI,17467905,122,20,-,-,13,79,-,-,10,0.698423766,2.086359831,1.301029996,-,-,1.113943352,1.897627091,-,-,1,-0.155880991
Malta,MLT,431874,176,27,-,-,15,-,82,-,47,40.75262692,2.245512668,1.431363764,-,-,1.176091259,-,1.913813852,-,1.672097858,1.610155609
Marshall Islands,MHL,52994,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
Mauritania,MRT,4182341,40,-,-,-,-,-,19,-,13,0.956402168,1.602059991,-,-,-,-,-,1.278753601,-,1.113943352,-0.019359448
Mauritius,MUS,1262605,204,89,-,-,3,6,48,10,48,16.15707209,2.309630167,1.949390007,-,-,0.477121255,0.77815125,1.681241237,1,1.681241237,1.208362663
Mexico,MEX,125890949,771598,20988,268834,95188,7339,34520,45980,70294,228455,612.9098288,5.887391093,4.321971056,5.429484194,4.978582202,3.865636888,4.538070787,4.662568967,4.846918257,5.358800668,2.787396586
Moldova,MDA,3554108,574,209,48,82,53,35,36,3,108,16.1503252,2.758911892,2.320146286,1.681241237,1.913813852,1.72427587,1.544068044,1.556302501,0.477121255,2.033423755,1.208181272
Monaco,MCO,38307,47,7,-,-,32,3,-,-,5,122.6929804,1.672097858,0.84509804,-,-,1.505149978,0.477121255,-,-,0.698970004,2.088819716
Mongolia,MNG,2976877,364,64,-,-,-,104,-,43,140,12.22757944,2.561101384,1.806179974,-,-,-,2.017033339,-,1.633468456,2.146128036,1.087340493
Morocco,MAR,34803322,849,346,-,-,23,48,101,79,252,2.439422306,2.92890769,2.539076099,-,-,1.361727836,1.681241237,2.004321374,1.897627091,2.401400541,0.387286991
Mozambique,MOZ,28010691,81,7,-,-,-,14,-,-,56,0.289175301,1.908485019,0.84509804,-,-,-,1.146128036,-,-,1.748188027,-0.538838804
Namibia,NAM,2425561,69,20,-,-,16,-,10,-,19,2.844702731,1.838849091,1.301029996,-,-,1.204119983,-,1,-,1.278753601,0.45403689
Nauru,NRU,12475,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
Nepal,NPL,28656282,1913,1244,-,-,8,30,104,-,522,6.675674116,3.28171497,3.09482038,-,-,0.903089987,1.477121255,2.017033339,-,2.717670503,0.824495128
Netherlands,NLD,16939923,26027,1919,5,22,3620,998,10008,3503,5952,153.6429652,4.415424112,3.283074975,0.698970004,1.342422681,3.558708571,2.999130541,4.000347297,3.544440137,3.774662923,2.18651268
New Zealand,NZL,4595700,7498,1246,101,48,1071,517,2452,58,2005,163.1525121,3.874945436,3.095518042,2.004321374,1.681241237,3.029789471,2.713490543,3.389520466,1.763427994,3.302114377,2.212593765
Nicaragua,NIC,6082035,1291,268,436,116,13,93,183,-,182,21.22644806,3.110926242,2.428134794,2.639486489,2.064457989,1.113943352,1.968482949,2.26245109,-,2.260071388,1.326877327
Niger,NER,19896965,45,5,-,-,-,17,11,-,8,0.226165146,1.653212514,0.698970004,-,-,-,1.230448921,1.041392685,-,0.903089987,-0.645574322
Nigeria,NGA,181181744,3813,1529,-,-,36,157,700,-,1388,2.104516667,3.581266805,3.184407485,-,-,1.556302501,2.195899652,2.84509804,-,3.142389466,0.32315237
Norway,NOR,5190239,7502,511,-,-,898,-,1667,2135,1947,144.5405501,3.87517706,2.7084209,-,-,2.953276337,-,3.2219356,3.329397879,3.289365952,2.159989703
Oman,OMN,4199810,145,13,-,-,-,-,51,-,81,3.452537139,2.161368002,1.113943352,-,-,-,-,1.707570176,-,1.908485019,0.538138359
Pakistan,PAK,189380513,5663,2000,-,-,53,228,848,311,2223,2.990275985,3.753046562,3.301029996,-,-,1.72427587,2.357934847,2.928395852,2.492760389,3.346939463,0.475711273
Palau,PLW,21288,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
Panama,PAN,3969249,1440,335,-,60,60,185,308,190,302,36.27890314,3.158362492,2.525044807,-,1.77815125,1.77815125,2.267171728,2.488550717,2.278753601,2.480006943,1.559654148
Papua New Guinea,PNG,7919825,11,-,-,-,-,-,-,-,6,0.138891958,1.041392685,-,-,-,-,-,-,-,0.77815125,-0.8573229
Paraguay,PRY,6639119,447,102,-,-,13,42,70,66,154,6.732821026,2.650307523,2.008600172,-,-,1.113943352,1.62324929,1.84509804,1.819543936,2.187520721,0.82819707
Peru,PER,31376671,5567,1782,1031,28,218,270,1084,43,1111,17.74248135,3.745621221,3.2509077,3.013258665,1.447158031,2.338456494,2.431363764,3.035029282,1.633468456,3.045714059,1.249014357
Philippines,PHL,101716359,17419,3941,19,1681,312,133,2628,604,8101,17.12507228,4.241023219,3.595606435,1.278753601,3.225567713,2.494154594,2.123851641,3.419625361,2.781036939,3.908538632,1.233632413
Poland,POL,37986412,8144,1293,-,-,681,550,2812,323,2393,21.43924517,3.910837765,3.111598525,-,-,2.833147112,2.740362689,3.449015316,2.509202522,3.378942699,1.331209491
Portugal,PRT,10358076,6164,1232,-,13,643,222,2506,119,1429,59.50912119,3.78986263,3.090610708,-,1.113943352,2.808210973,2.346352974,3.398981067,2.075546961,3.155032229,1.774583537
Qatar,QAT,2481539,24,-,-,-,-,-,13,-,6,0.967141762,1.380211242,-,-,-,-,-,1.113943352,-,0.77815125,-0.014509863
Romania,ROU,19815481,4589,1206,202,414,269,189,1229,204,876,23.15866065,3.661718058,3.081347308,2.305351369,2.617000341,2.42975228,2.276461804,3.089551883,2.309630167,2.942504106,1.364713439
Russian Federation,RUS,144096870,15262,2470,-,22,1498,2903,3578,141,4650,10.59148613,4.183611449,3.392696953,-,1.342422681,3.175511813,3.462847036,3.553640336,2.149219113,3.667452953,1.024956902
Rwanda,RWA,11629553,90,56,-,-,-,-,-,-,20,0.77389045,1.954242509,1.748188027,-,-,-,-,-,-,1.301029996,-0.111320513
Samoa,WSM,193759,47,-,-,-,-,-,-,-,47,24.25693774,1.672097858,-,-,-,-,-,-,-,1.672097858,1.384835974
San Marino,SMR,32960,4,-,-,-,-,-,-,-,-,12.13592233,0.602059991,-,-,-,-,-,-,-,-,1.084072788
Sao Tome and Principe,STP,195553,3,3,-,-,-,-,-,-,-,1.534110957,0.477121255,0.477121255,-,-,-,-,-,-,-,0.185856772
Saudi Arabia,SAU,31557144,1720,163,-,-,-,-,531,-,1004,5.450429861,3.235528447,2.212187604,-,-,-,-,2.725094521,-,3.001733713,0.736430755
Senegal,SEN,14976994,232,119,-,-,5,30,34,3,41,1.549042485,2.365487985,2.075546961,-,-,0.698970004,1.477121255,1.531478917,0.477121255,1.612783857,0.190063329
Serbia,SRB,7095383,1571,434,4,180,263,152,238,37,263,22.14115855,3.196176185,2.63748973,0.602059991,2.255272505,2.419955748,2.181843588,2.376576957,1.568201724,2.419955748,1.345200342
Seychelles,SYC,93419,3,-,-,-,-,-,-,-,3,3.211338165,0.477121255,-,-,-,-,-,-,-,0.477121255,0.506686041
Sierra Leone,SLE,7237025,35,10,-,-,3,10,3,-,9,0.483624141,1.544068044,1,-,-,0.477121255,1,0.477121255,-,0.954242509,-0.315492029
Singapore,SGP,5535002,7280,3189,-,-,123,20,1955,170,1823,131.5266011,3.862131379,3.503654519,-,-,2.089905111,1.301029996,3.291146762,2.230448921,3.260786669,2.119013597
Slovak Republic,SVK,5423801,1773,301,-,64,215,153,516,143,381,32.68925243,3.248708736,2.478566496,-,1.806179974,2.33243846,2.184691431,2.712649702,2.155336037,2.580924976,1.514404989
Slovenia,SVN,2063531,1067,181,-,13,117,121,220,276,139,51.70748586,3.028164419,2.257678575,-,1.113943352,2.068185862,2.08278537,2.342422681,2.440909082,2.1430148,1.713553422
Solomon Islands,SLB,587482,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
Somalia,SOM,13908129,-,-,-,-,-,-,-,-,-,#VALUE!,-,-,-,-,-,-,-,-,-,#VALUE!
South Africa,ZAF,55291225,10789,1171,2011,1576,713,324,2872,58,2064,19.51304208,4.032981193,3.068556895,3.303412071,3.197556213,2.85308953,2.51054501,3.458184436,1.763427994,3.314709693,1.290324981
South Sudan,SSD,11882136,6,-,-,-,-,-,-,-,3,0.050495971,0.77815125,-,-,-,-,-,-,-,0.477121255,-1.296743269
Spain,ESP,46444832,50419,6397,3,99,3144,1079,15503,13305,10889,108.5567497,4.702594228,3.805976351,0.477121255,1.995635195,3.497482537,3.033021445,4.190415747,4.124014879,4.036987998,2.035656831
