Country Name,Country Code,2015,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Afghanistan,AFG,33736494,38,4,-,-,-,-,4,-,25,0.112637668,1.579783597,0.602059991,-,-,-,-,0.602059991,-,1.397940009,-0.948316351
Albania,ALB,2880703,588,296,-,-,13,77,49,30,123,20.41168423,2.769377326,2.471291711,-,-,1.113943352,1.886490725,1.69019608,1.477121255,2.089905111,1.309878841
Algeria,DZA,39871528,465,56,-,-,-,10,82,-,314,1.166245748,2.667452953,1.748188027,-,-,-,1,1.913813852,-,2.496929648,0.066790073
American Samoa,ASM,55537,,,,,,,,,,0,-,-,-,-,-,-,-,-,-,-
Andorra,AND,78014,93,29,-,-,-,-,-,-,54,119.2093727,1.968482949,1.462397998,-,-,-,-,-,-,1.73239376,2.076310403
Angola,AGO,27859305,693,32,-,-,24,5,344,-,288,2.487499239,2.840733235,1.505149978,-,-,1.380211242,0.698970004,2.536558443,-,2.459392488,0.395762957
Antigua and Barbuda,ATG,99923,91,27,-,-,-,26,11,-,20,91.070124,1.959041392,1.431363764,-,-,-,1.414973348,1.041392685,-,1.301029996,1.959375928
Argentina,ARG,43417765,22218,3046,11,97,1455,1363,6742,3695,5809,51.17260181,4.346704962,3.483729899,1.041392685,1.986771734,3.162862993,3.134495856,3.828788748,3.567614443,3.764101376,1.709037499
Armenia,ARM,2916950,597,101,-,-,69,285,28,12,102,20.46658325,2.775974331,2.004321374,-,-,1.838849091,2.45484486,1.447158031,1.079181246,2.008600172,1.311045346
Aruba,ABW,104341,,,,,,,,,,0,-,-,-,-,-,-,-,-,-,-
Australia,AUS,23850784,67995,2285,81,65,5643,2303,11678,37967,7973,285.0849683,4.832476978,3.358886204,1.908485019,1.812913357,3.75151005,3.362293938,4.067368471,4.579406282,3.901621764,2.454974319
Austria,AUT,8633169,7774,797,-,18,678,311,2805,1565,1600,90.04804609,3.890644536,2.901458321,-,1.255272505,2.831229694,2.492760389,3.447932866,3.194514342,3.204119983,1.954474294
Azerbaijan,AZE,9649341,361,89,-,-,16,32,64,12,148,3.741188129,2.557507202,1.949390007,-,-,1.204119983,1.505149978,1.806179974,1.079181246,2.170261715,0.573009548
"Bahamas, The",BHS,386838,740,370,-,-,30,49,174,5,112,191.2945471,2.86923172,2.568201724,-,-,1.477121255,1.69019608,2.240549248,0.698970004,2.049218023,2.28170259
Bahrain,BHR,1371855,86,30,-,-,-,5,26,-,25,6.268884102,1.934498451,1.477121255,-,-,-,0.698970004,1.414973348,-,1.397940009,0.797190241
Bangladesh,BGD,161200886,1360,454,-,-,73,76,153,32,572,0.84366782,3.133538908,2.657055853,-,-,1.86332286,1.880813592,2.184691431,1.505149978,2.757396029,-0.073828516
